Stock,MAE,RMSE,MAPE,Action,Trading_Accuracy,Profit_Pct,Buy_Signals,Sell_Signals
AVGO,98.23259689976793,120.60329685803957,0.4989310235786177,SELL,0.4684385382059801,0.0,0,602
AAPL,44.001822889215106,49.744102094360755,0.20193227901128727,SELL,0.4485049833887043,0.0,0,602
GOOG,88.53238232369587,98.16310696816866,0.5018111655040683,SELL,0.43521594684385384,0.0,0,602
NVDA,70.34351506125826,80.70471581580676,0.5973326242782796,SELL,0.45016611295681064,0.0,0,602
MSFT,119.07210555860753,127.98430386553167,0.27789653744815934,SELL,0.45182724252491696,0.0,0,602
AMZN,130.40358420895035,141.47406104212104,0.6752257410082043,SELL,0.47674418604651164,0.0,0,602
META,301.03851950916146,328.7696199866506,0.5480776357880631,SELL,0.4684385382059801,0.0,0,602
TSLA,272.2744274815137,310.07404301190945,0.9419676810594758,SELL,0.49335548172757476,0.0,0,602
AMD,57.773005895517116,66.89814238052146,0.3767035567330411,SELL,0.4950166112956811,23.82048008119291,1,601
ORCL,32.13889392910564,49.75671197295821,0.1641303249504605,SELL,0.4850498338870432,64.15117175224393,95,507
